Overall Qual,Gr Liv Area,Garage Cars,Garage Area,Total Bsmt SF,1st Flr SF,Year Built,Year Remod/Add,Full Bath,TotRms AbvGrd,Neighborhood,SalePrice,Age of House
6,882,1.0,502.0,882.0,882,1956,1956,1,5,NAmes,124500,68
6,1434,2.0,528.0,1434.0,1434,1974,1974,2,7,NAmes,157000,50
8,2704,2.0,538.0,1952.0,2000,1972,1995,2,9,NAmes,345000,29
6,1608,2.0,470.0,945.0,945,1997,1997,2,7,Gilbert,189500,27
8,2283,3.0,632.0,1008.0,1008,2003,2003,2,9,Gilbert,270000,21
7,1628,2.0,390.0,384.0,958,1996,1997,2,7,Gilbert,189000,27
9,1746,3.0,758.0,1746.0,1746,2006,2007,2,7,Gilbert,377500,17
7,1474,2.0,400.0,384.0,804,1995,1996,2,7,Gilbert,168500,28
8,2522,2.0,564.0,2208.0,2522,2004,2005,2,8,StoneBr,375000,19
8,1659,2.0,499.0,1501.0,1659,2000,2000,2,5,StoneBr,278000,24
8,1478,2.0,495.0,1418.0,1478,1998,1998,2,5,StoneBr,240000,26
8,1734,2.0,528.0,1587.0,1734,1995,1996,2,6,StoneBr,239500,28
7,1382,2.0,396.0,384.0,751,1998,1998,2,7,Gilbert,177500,26
7,1718,2.0,427.0,832.0,885,1998,1998,2,7,Gilbert,185000,26
6,1636,2.0,440.0,952.0,952,1998,1999,2,7,Gilbert,191000,25
6,1571,2.0,380.0,799.0,799,1993,1994,2,7,Gilbert,178000,30
6,1470,2.0,420.0,680.0,680,1993,1993,2,6,Gilbert,185000,31
6,1516,2.0,409.0,707.0,707,1994,1995,2,7,Gilbert,181316,29
6,1190,2.0,430.0,1181.0,1190,1993,1993,2,6,Gilbert,166000,31
6,1593,2.0,389.0,808.0,808,1992,1993,2,7,Gilbert,178000,31
6,1481,2.0,343.0,702.0,702,1994,1995,2,6,Gilbert,174000,29
6,1167,2.0,400.0,1158.0,1167,1992,1992,2,6,Gilbert,173000,32
7,1983,2.0,490.0,978.0,1005,1999,1999,2,9,Gilbert,225000,25
7,1442,2.0,500.0,1424.0,1442,1990,1990,2,5,Gilbert,180500,34
8,1360,2.0,565.0,1220.0,1360,1984,1984,1,4,StoneBr,187500,40
9,2234,3.0,1166.0,2216.0,2234,2008,2009,2,9,StoneBr,501837,15
8,2046,3.0,834.0,2046.0,2046,2008,2008,2,7,StoneBr,372500,16
7,1530,2.0,430.0,1530.0,1530,2005,2005,2,7,StoneBr,260000,19
5,1934,2.0,567.0,1122.0,946,1977,1977,2,6,Gilbert,185000,47
7,2353,2.0,484.0,845.0,1153,1980,1980,2,10,NWAmes,260000,44
6,1586,2.0,435.0,1362.0,1586,1979,1998,2,7,NWAmes,181000,26
7,1411,2.0,544.0,1386.0,1411,1977,1977,2,6,NWAmes,82500,47
6,1602,2.0,529.0,1602.0,1602,1977,2000,2,8,NWAmes,215000,24
7,2050,2.0,529.0,832.0,1154,1978,1978,2,8,NWAmes,154000,46
6,1671,2.0,484.0,1427.0,1671,1978,1986,2,7,NWAmes,200000,38
7,2673,2.0,441.0,1043.0,1539,1980,1991,2,9,NWAmes,249000,33
7,1472,2.0,588.0,1372.0,1472,1980,1980,2,6,NWAmes,187500,44
6,1707,2.0,479.0,1140.0,1707,1978,1998,2,7,NWAmes,184000,26
8,2524,2.0,542.0,2524.0,2524,1981,1981,2,9,NWAmes,278000,43
7,1601,2.0,478.0,1271.0,1601,1978,1978,2,7,NWAmes,157000,46
7,1370,2.0,479.0,1090.0,1370,1976,1976,2,6,NWAmes,152000,48
5,1868,2.0,484.0,780.0,1088,1976,1976,2,9,NWAmes,197500,48
7,1884,2.0,581.0,926.0,1016,2003,2003,2,7,Somerst,240900,21
8,1935,2.0,552.0,832.0,832,2009,2009,2,8,Somerst,263435,15
8,1874,2.0,588.0,1058.0,1058,2000,2001,2,7,Somerst,220000,23
8,1811,2.0,565.0,972.0,972,2002,2002,2,7,Somerst,235000,22
5,1621,2.0,478.0,1621.0,1621,1975,1975,2,7,NWAmes,213000,49
6,1116,2.0,528.0,1116.0,1116,1974,1974,2,6,NWAmes,167900,50
7,1193,2.0,506.0,1176.0,1193,1975,1975,2,5,NWAmes,158000,49
6,1350,2.0,478.0,1064.0,1350,1974,1974,2,7,NWAmes,165000,50
6,2119,2.0,583.0,689.0,1378,1972,1972,2,7,NWAmes,158000,52
5,1792,0.0,0.0,896.0,896,1974,1974,2,8,NAmes,136000,50
5,1002,2.0,902.0,1002.0,1002,1970,1970,1,5,NAmes,148500,54
6,1026,2.0,440.0,1026.0,1026,1969,2005,1,5,NAmes,156000,19
5,1180,2.0,477.0,1180.0,1180,1970,1970,1,6,NAmes,128000,54
5,1050,1.0,336.0,1043.0,1050,1971,1971,1,6,NAmes,143000,53
4,864,2.0,576.0,864.0,864,1970,1970,1,5,NAmes,76500,54
4,864,2.0,660.0,864.0,864,1970,1970,1,5,NAmes,120500,54
4,864,2.0,463.0,864.0,864,1970,1970,1,5,NAmes,124500,54
4,864,2.0,576.0,864.0,864,1971,1971,1,4,NAmes,97000,53
4,864,2.0,576.0,864.0,864,1971,2006,1,5,NAmes,130000,18
6,987,1.0,264.0,483.0,483,1973,1973,1,5,BrDale,111000,51
5,1365,2.0,440.0,765.0,765,1970,1970,1,7,BrDale,125000,54
5,1302,1.0,280.0,630.0,630,1971,1971,2,6,BrDale,112000,53
6,987,1.0,288.0,483.0,483,1972,1972,1,5,BrDale,97000,52
6,987,1.0,264.0,483.0,483,1972,2007,1,5,BrDale,118000,17
5,1302,1.0,264.0,630.0,630,1972,1972,2,6,BrDale,119500,52
6,958,2.0,440.0,958.0,958,1976,1976,2,5,NPkVill,143750,48
6,1548,2.0,440.0,804.0,804,1976,1976,2,7,NPkVill,146000,48
6,1456,2.0,440.0,855.0,855,1976,1976,2,7,NPkVill,148500,48
7,1055,2.0,440.0,1057.0,1055,1975,1975,2,4,NPkVill,123000,49
6,1322,2.0,440.0,855.0,855,1974,1974,2,6,NPkVill,147000,50
6,1456,2.0,440.0,855.0,855,1977,1977,2,6,NPkVill,137900,47
6,1548,2.0,440.0,804.0,804,1978,1978,2,7,NPkVill,147000,46
6,1441,2.0,440.0,855.0,855,1978,1978,2,7,NPkVill,148500,46
6,1456,2.0,440.0,855.0,855,1978,1978,2,6,NPkVill,138000,46
7,836,1.0,345.0,836.0,836,1976,1976,1,5,NPkVill,128500,48
5,892,1.0,288.0,892.0,892,1967,1967,1,5,NAmes,100000,57
5,1120,2.0,656.0,864.0,1120,1966,2004,1,5,NAmes,148800,20
10,1718,3.0,786.0,1700.0,1718,2006,2007,2,7,NridgHt,337500,17
9,2772,3.0,754.0,1776.0,1794,2007,2007,3,10,NridgHt,462000,17
9,3140,3.0,820.0,1926.0,1966,2008,2009,3,11,NridgHt,485000,15
10,2402,3.0,672.0,3094.0,2402,2008,2008,2,10,NridgHt,555000,16
9,1652,2.0,840.0,1652.0,1652,2006,2007,2,6,NridgHt,325000,17
8,1600,3.0,890.0,1566.0,1600,2007,2007,2,7,NridgHt,256300,17
8,2042,3.0,1390.0,2042.0,2042,2008,2009,2,8,NridgHt,253293,15
9,2690,3.0,864.0,1365.0,1365,2009,2009,2,8,NridgHt,398800,15
9,2184,3.0,836.0,1104.0,1130,2008,2008,2,10,NridgHt,335000,16
9,2020,3.0,896.0,2020.0,2020,2008,2008,2,7,NridgHt,404000,16
10,2020,3.0,900.0,2006.0,2020,2009,2009,2,9,NridgHt,402861,15
10,2296,3.0,842.0,1722.0,1728,2008,2008,2,10,NridgHt,451950,16
10,2674,3.0,762.0,2630.0,2674,2007,2007,2,8,NridgHt,610000,17
9,2822,3.0,1020.0,1734.0,1734,2008,2009,3,12,NridgHt,582933,15
9,1736,3.0,834.0,1736.0,1736,2008,2008,2,7,NridgHt,360000,16
8,1782,3.0,932.0,1782.0,1782,2004,2005,2,7,NridgHt,296000,19
8,2520,3.0,640.0,1508.0,1508,2007,2007,2,10,NridgHt,409900,17
8,1717,3.0,908.0,1709.0,1717,2006,2006,2,7,NridgHt,255500,18
9,1743,3.0,927.0,1739.0,1743,2008,2008,2,8,NridgHt,335000,16
8,1713,3.0,856.0,1713.0,1713,2004,2005,2,7,NridgHt,274900,19
9,1531,3.0,700.0,1504.0,1531,2006,2006,2,6,NridgHt,300000,18
9,1808,3.0,850.0,1774.0,1808,2008,2008,2,7,NridgHt,324000,16
9,2224,3.0,738.0,1462.0,1462,2004,2005,2,10,NridgHt,350000,19
8,1836,3.0,862.0,1836.0,1836,2004,2005,2,7,NridgHt,280000,19
8,1629,3.0,880.0,3206.0,1629,2003,2004,2,7,NridgHt,284000,20
7,1760,2.0,583.0,1760.0,1760,2003,2004,2,8,NridgHt,269500,20
7,1502,2.0,644.0,1502.0,1502,2009,2009,2,7,NridgHt,233170,15
10,2392,3.0,968.0,2392.0,2392,2003,2003,2,8,NridgHt,386250,21
9,2452,3.0,886.0,2452.0,2452,2003,2003,2,10,NridgHt,445000,21
8,2400,3.0,730.0,1082.0,1105,2003,2004,3,10,NridgHt,290000,20
8,1606,3.0,871.0,1598.0,1606,2006,2006,2,6,NridgHt,255900,18
6,1358,2.0,484.0,1358.0,1358,2005,2005,2,6,NridgHt,213000,19
6,1306,2.0,624.0,1306.0,1306,2005,2005,2,5,NridgHt,196000,19
6,1306,2.0,624.0,1306.0,1306,2005,2005,2,5,NridgHt,184500,19
7,1358,2.0,484.0,1350.0,1358,2007,2008,2,6,NridgHt,212500,16
7,1314,2.0,626.0,1314.0,1314,2007,2008,2,6,NridgHt,230000,16
10,2492,3.0,949.0,2492.0,2492,2004,2005,2,8,NridgHt,552000,19
8,2200,3.0,685.0,2200.0,2200,2003,2004,2,8,NridgHt,382500,20
9,1884,2.0,649.0,1884.0,1884,2008,2009,2,6,NridgHt,320000,15
9,1456,2.0,539.0,1451.0,1456,2008,2008,2,6,NridgHt,248500,16
8,1712,3.0,701.0,1712.0,1712,2002,2003,2,8,NridgHt,286500,21
8,1324,2.0,550.0,1324.0,1324,2006,2006,2,6,NridgHt,254000,18
7,1405,2.0,478.0,1405.0,1405,2003,2003,2,6,NridgHt,173000,21
7,1626,2.0,474.0,764.0,764,2003,2004,2,6,NridgHt,173000,20
7,1456,2.0,390.0,728.0,728,2005,2005,2,8,Gilbert,184000,19
6,1490,2.0,392.0,745.0,745,2005,2006,2,7,Gilbert,167800,18
6,1484,2.0,390.0,742.0,742,2005,2005,2,8,Gilbert,174000,19
6,1560,2.0,400.0,684.0,684,2005,2005,2,6,Gilbert,174000,19
7,1555,3.0,660.0,1373.0,1555,2007,2007,2,7,Blmngtn,174000,17
7,1569,3.0,660.0,1386.0,1569,2007,2007,2,7,Blmngtn,175900,17
7,1555,2.0,430.0,1373.0,1555,2005,2006,2,7,Blmngtn,192500,18
7,1504,2.0,457.0,1346.0,1504,2005,2006,2,7,Blmngtn,181000,18
7,1220,2.0,397.0,1220.0,1220,2005,2006,2,5,Blmngtn,180000,18
7,1145,2.0,397.0,1145.0,1145,2005,2006,2,5,Blmngtn,160200,18
7,1432,2.0,432.0,716.0,716,2004,2005,2,6,Gilbert,188500,19
6,2267,2.0,390.0,1010.0,1010,2002,2002,2,8,Gilbert,200000,22
7,1374,2.0,400.0,384.0,744,2004,2005,2,6,Gilbert,170000,19
7,1630,2.0,436.0,868.0,868,2004,2005,2,7,Gilbert,189500,19
8,1419,2.0,527.0,408.0,779,2002,2002,2,7,Gilbert,184100,22
7,1594,2.0,434.0,846.0,846,2004,2004,2,7,Gilbert,195500,20
7,1489,2.0,400.0,782.0,806,2003,2003,2,8,Gilbert,192000,21
7,1342,2.0,393.0,698.0,698,2003,2003,2,7,Gilbert,178000,21
7,1314,2.0,626.0,1314.0,1314,2007,2008,2,6,NridgHt,207500,16
7,2256,2.0,554.0,952.0,980,2000,2000,2,8,Gilbert,236000,24
8,2004,3.0,644.0,870.0,878,2002,2002,2,8,Gilbert,257500,22
6,2054,2.0,390.0,992.0,1022,2000,2000,2,7,Gilbert,244000,24
7,1374,2.0,400.0,384.0,744,2004,2004,2,7,Gilbert,167000,20
6,1800,2.0,463.0,982.0,1007,2000,2000,2,7,Gilbert,179000,24
6,1514,2.0,394.0,794.0,819,2000,2000,2,7,Gilbert,190000,24
7,1430,2.0,400.0,384.0,774,1999,2000,2,7,Gilbert,156000,24
7,2312,3.0,658.0,1177.0,1223,1999,1999,2,8,Gilbert,245000,25
6,1675,2.0,502.0,841.0,892,1999,1999,2,7,Gilbert,181000,25
7,2060,2.0,390.0,992.0,1022,1999,1999,2,8,Gilbert,214000,25
7,1430,2.0,410.0,384.0,774,1999,1999,2,7,Gilbert,168000,25
8,2365,3.0,856.0,1252.0,1268,1999,1999,2,8,NoRidge,337000,25
8,2794,3.0,810.0,1462.0,1490,1995,1996,2,9,NoRidge,403000,28
8,2687,3.0,810.0,1455.0,1466,2000,2000,2,10,NoRidge,327000,24
8,2450,3.0,1069.0,1284.0,1310,1998,1998,2,7,NoRidge,340000,26
8,2612,3.0,676.0,1225.0,1276,1998,1999,2,8,NoRidge,336000,25
7,2344,3.0,889.0,1264.0,1277,1996,1997,2,7,NoRidge,265000,27
8,2063,3.0,815.0,2024.0,2063,1994,1995,2,7,NoRidge,315000,29
7,2646,3.0,656.0,1347.0,1372,1993,1993,2,9,NoRidge,260000,31
7,2061,2.0,647.0,1070.0,1094,1995,1996,2,7,NoRidge,260000,28
8,2232,2.0,623.0,1173.0,1215,1993,1994,2,8,NoRidge,263550,30
8,2448,3.0,711.0,1629.0,1686,1994,2005,2,8,NoRidge,402000,19
7,1850,2.0,467.0,973.0,979,1994,1994,2,7,NoRidge,248000,30
8,1468,3.0,898.0,1468.0,1468,2008,2009,2,6,Somerst,244600,15
8,1696,3.0,972.0,1696.0,1696,2008,2008,2,7,Somerst,275000,16
8,1658,3.0,726.0,1614.0,1658,2008,2008,2,7,Somerst,257500,16
8,1578,3.0,840.0,1573.0,1578,2008,2009,2,7,Somerst,287090,15
8,1702,3.0,844.0,1702.0,1702,2007,2007,2,7,Somerst,275500,17
8,1432,2.0,492.0,1422.0,1432,2006,2006,2,7,Somerst,245000,18
7,1971,2.0,689.0,1113.0,1113,2005,2005,2,8,Somerst,253000,19
9,2490,3.0,795.0,2458.0,2490,2005,2006,2,9,Somerst,468000,18
7,1852,2.0,644.0,900.0,932,2009,2009,2,7,Somerst,252678,15
8,1590,2.0,676.0,768.0,786,2008,2008,2,6,Somerst,210000,16
6,1218,2.0,676.0,1218.0,1218,2009,2009,2,4,Somerst,208300,15
7,1436,2.0,529.0,1436.0,1436,2008,2009,2,6,Somerst,225000,15
8,1314,2.0,552.0,1300.0,1314,2009,2009,2,6,Somerst,229456,15
7,1402,2.0,625.0,1402.0,1402,2008,2008,2,7,Somerst,229800,16
9,1530,3.0,984.0,1530.0,1530,2007,2008,2,7,Somerst,250000,16
9,1766,3.0,478.0,1766.0,1766,2009,2009,2,7,Somerst,370878,15
8,1448,2.0,692.0,1372.0,1448,2006,2007,2,6,Somerst,238500,17
10,2007,3.0,812.0,1017.0,1026,2008,2008,2,10,Somerst,310000,16
8,1795,3.0,782.0,900.0,909,2006,2006,2,8,Somerst,270000,18
8,1953,3.0,1043.0,1082.0,1082,2005,2006,2,9,Somerst,252000,18
7,1550,2.0,438.0,1092.0,1112,2006,2007,2,7,Somerst,241000,17
8,1836,2.0,517.0,1836.0,1836,2008,2009,2,8,Somerst,264500,15
7,1662,3.0,711.0,1652.0,1662,2006,2007,2,8,Somerst,291000,17
7,2094,2.0,615.0,912.0,912,2003,2004,2,8,Somerst,263000,20
7,1221,2.0,400.0,1221.0,1221,2004,2005,2,6,Somerst,185000,19
7,1553,2.0,588.0,1553.0,1553,2003,2004,2,6,Somerst,234500,20
7,1653,2.0,628.0,812.0,812,2003,2003,2,6,Somerst,209000,21
7,1218,2.0,576.0,1218.0,1218,2007,2007,1,6,SawyerW,159000,17
7,1141,2.0,484.0,1141.0,1141,2006,2006,1,6,SawyerW,152000,18
6,1158,0.0,0.0,1158.0,1158,2004,2004,1,5,SawyerW,143500,20
7,1812,2.0,478.0,835.0,871,2004,2004,2,8,SawyerW,193000,20
8,1512,3.0,845.0,1512.0,1512,2004,2004,2,6,SawyerW,203000,20
7,1200,2.0,555.0,1176.0,1200,2003,2003,2,5,SawyerW,184900,21
7,1114,2.0,576.0,1114.0,1114,2004,2005,1,6,SawyerW,159000,19
5,1114,0.0,0.0,1114.0,1114,2004,2004,1,6,SawyerW,142000,20
5,1114,2.0,576.0,1114.0,1114,2003,2004,2,6,SawyerW,153000,20
7,1450,3.0,788.0,1450.0,1450,2008,2009,2,6,SawyerW,224243,15
7,2122,2.0,559.0,913.0,913,1996,1997,2,8,SawyerW,220000,27
8,1844,2.0,620.0,1844.0,1844,2005,2006,2,7,SawyerW,257000,18
7,1434,2.0,527.0,1454.0,1434,2001,2001,2,6,SawyerW,189000,23
6,1730,2.0,528.0,816.0,833,1992,1992,2,6,SawyerW,171500,32
6,1217,1.0,288.0,626.0,626,1980,1980,1,6,SawyerW,120000,44
6,1332,2.0,542.0,1332.0,1332,1990,1991,2,5,SawyerW,145000,33
7,1540,2.0,495.0,754.0,754,1994,1994,2,6,SawyerW,184000,30
6,1400,2.0,465.0,676.0,698,1986,1986,2,6,SawyerW,162000,38
6,1882,2.0,612.0,0.0,964,1981,1981,2,8,SawyerW,160000,43
4,841,1.0,294.0,721.0,841,1950,1950,1,4,SawyerW,82000,74
6,784,2.0,360.0,784.0,784,1928,1950,1,5,SawyerW,76000,74
5,980,2.0,400.0,980.0,980,1962,1962,1,5,Sawyer,110000,62
5,980,2.0,484.0,980.0,980,1977,1977,1,6,Sawyer,135000,47
5,864,2.0,732.0,864.0,864,1961,1961,1,5,Sawyer,141000,63
5,864,1.0,440.0,864.0,864,1961,1961,1,5,Sawyer,122000,63
5,1020,1.0,288.0,1024.0,1020,1965,1965,2,5,Sawyer,124100,59
5,912,1.0,300.0,912.0,912,1963,1995,1,6,Sawyer,129000,29
5,1144,1.0,264.0,864.0,1144,1961,1983,1,6,Sawyer,131400,41
5,864,1.0,360.0,864.0,864,1965,1965,1,5,Sawyer,62383,59
5,912,1.0,252.0,912.0,912,1962,1962,1,6,Sawyer,123000,62
8,2014,3.0,864.0,2014.0,2014,1980,1980,2,6,Veenker,275000,44
7,1755,2.0,524.0,975.0,975,1991,2008,2,7,NoRidge,235000,16
7,3005,3.0,704.0,1376.0,1376,2004,2005,2,9,Somerst,280750,19
6,1224,2.0,528.0,612.0,612,2009,2009,2,4,Somerst,164500,15
6,1224,2.0,528.0,612.0,612,2009,2009,2,4,Somerst,173733,15
6,1726,2.0,561.0,1726.0,1726,2008,2008,2,6,Somerst,222000,16
6,1256,2.0,641.0,1145.0,1256,2008,2008,1,5,Somerst,195000,16
6,1471,2.0,440.0,729.0,742,1999,1999,2,6,Somerst,172500,25
6,1512,2.0,440.0,756.0,756,2000,2000,2,4,Somerst,180000,24
7,1452,2.0,506.0,691.0,713,1999,1999,2,6,Somerst,156000,25
8,1739,2.0,480.0,970.0,983,1999,2000,2,7,Somerst,172500,24
8,1694,2.0,642.0,1694.0,1694,1977,2008,2,5,Veenker,318750,16
8,1226,2.0,484.0,1226.0,1226,1981,1981,1,4,Greens,211500,43
7,1740,2.0,540.0,1740.0,1740,1981,1981,1,7,Veenker,241600,43
8,2499,2.0,527.0,392.0,1487,1976,1976,2,5,Veenker,180500,48
4,1620,2.0,490.0,1281.0,1620,1976,1993,2,8,Sawyer,150000,31
6,1556,2.0,441.0,727.0,829,1968,1968,1,8,NWAmes,154000,56
6,1442,2.0,615.0,1442.0,1442,1970,1970,2,6,NWAmes,185000,54
6,1489,2.0,462.0,1489.0,1489,1968,1968,2,7,NWAmes,185750,56
7,2090,2.0,484.0,1107.0,1107,1973,1973,2,7,NWAmes,200000,51
7,2067,2.0,784.0,752.0,1285,1974,1974,2,7,NWAmes,206000,50
6,1395,2.0,497.0,723.0,735,1972,1972,1,6,NWAmes,162000,52
6,2640,2.0,515.0,932.0,1271,1967,1997,2,8,NWAmes,256900,27
6,1724,2.0,480.0,1680.0,1724,1967,1976,1,7,NWAmes,197900,48
5,1336,2.0,502.0,1288.0,1336,1969,1969,2,6,NWAmes,163000,55
6,1216,1.0,336.0,1216.0,1216,1969,1969,1,5,NWAmes,113000,55
7,2288,2.0,520.0,908.0,1316,1977,1992,1,8,NWAmes,230000,32
6,1334,2.0,630.0,1350.0,1334,1977,1977,2,6,NWAmes,167900,47
7,1680,2.0,583.0,1650.0,1680,1998,1999,2,7,NWAmes,213250,25
8,1665,2.0,528.0,810.0,810,2001,2001,2,6,NWAmes,227000,23
5,864,1.0,312.0,864.0,864,1967,1967,1,5,NAmes,130000,57
5,1568,2.0,440.0,1568.0,1568,1967,1967,1,7,NAmes,143000,57
5,925,1.0,429.0,925.0,925,1965,1965,1,5,NAmes,117500,59
7,2061,2.0,498.0,1165.0,1165,1974,1974,2,8,NWAmes,168500,50
6,1320,2.0,495.0,1232.0,1320,1971,1971,2,5,NWAmes,172500,53
6,1342,2.0,457.0,1372.0,1342,1967,1967,2,7,NWAmes,161500,57
4,894,2.0,396.0,894.0,894,1960,1960,1,5,NAmes,141500,64
5,864,1.0,308.0,864.0,864,1959,1959,1,5,NAmes,118000,65
6,864,1.0,300.0,864.0,864,1959,1959,1,5,NAmes,127500,65
4,1362,3.0,768.0,1040.0,1362,1957,1957,1,6,NAmes,140000,67
5,1728,2.0,576.0,1048.0,1728,1956,1956,2,7,NAmes,177625,68
5,1776,3.0,888.0,1584.0,1776,1958,1958,2,9,NAmes,110000,66
6,1516,2.0,472.0,1516.0,1516,1964,1964,1,6,NAmes,167000,60
5,1313,2.0,610.0,1313.0,1313,1961,1995,1,6,NAmes,153000,29
5,1292,2.0,520.0,1292.0,1292,1964,1964,1,6,NAmes,145100,60
5,1154,2.0,480.0,1154.0,1154,1966,1966,1,6,NAmes,154000,58
5,2140,2.0,549.0,744.0,825,1965,1965,2,7,NAmes,177500,59
6,1445,2.0,645.0,1127.0,1445,1964,1964,1,7,NAmes,158000,60
5,1041,1.0,270.0,1041.0,1041,1959,1959,1,6,NAmes,124500,65
6,1576,2.0,368.0,1208.0,1576,1961,1961,1,7,NAmes,174500,63
5,960,1.0,330.0,960.0,960,1955,1955,1,5,NAmes,122000,69
4,708,0.0,0.0,420.0,708,1940,1950,1,5,BrkSide,82500,74
5,1203,1.0,352.0,709.0,979,1950,1950,1,5,BrkSide,110000,74
6,1505,2.0,505.0,1505.0,1505,1953,1953,1,6,NAmes,149500,71
6,1691,2.0,550.0,1680.0,1691,1967,1967,1,5,NAmes,175000,57
6,1644,2.0,418.0,1416.0,1644,1953,1953,1,7,NAmes,167000,71
5,1050,1.0,338.0,1050.0,1050,1956,1956,1,5,NAmes,128900,68
6,1668,1.0,271.0,856.0,1112,1950,2005,1,6,NAmes,140000,19
5,1113,1.0,264.0,1113.0,1113,1950,2007,1,5,NAmes,147000,17
5,1584,3.0,792.0,1584.0,1584,1967,1967,2,8,NAmes,124000,57
6,1453,2.0,530.0,1453.0,1453,1961,1961,2,6,NAmes,187500,63
6,1394,2.0,514.0,1394.0,1394,1963,1963,1,6,NAmes,159000,61
6,1567,2.0,542.0,1562.0,1567,1966,2008,2,5,NAmes,256000,16
7,1986,2.0,486.0,768.0,1186,1965,1990,2,7,NAmes,205000,34
6,2142,1.0,509.0,896.0,1182,1968,1968,2,8,NAmes,193500,56
6,1392,2.0,576.0,1392.0,1392,1968,1968,1,5,NAmes,110000,56
4,1738,1.0,368.0,715.0,1281,1920,2007,2,7,NAmes,104900,17
5,1144,1.0,286.0,1169.0,1144,1956,1956,1,6,NAmes,150000,68
6,1478,2.0,442.0,1478.0,1478,1957,1957,1,6,NAmes,156500,67
7,1329,2.0,441.0,1329.0,1329,1960,1960,1,5,NAmes,176000,64
6,988,1.0,297.0,988.0,988,1959,1998,2,6,NAmes,149500,26
6,1632,1.0,338.0,1240.0,1632,1958,1988,2,6,NAmes,139000,36
6,1215,1.0,297.0,1215.0,1215,1958,1998,1,6,NAmes,155000,26
5,1202,1.0,304.0,1202.0,1202,1956,1956,1,6,NAmes,120000,68
5,1382,1.0,350.0,1382.0,1382,1955,1955,1,6,NAmes,153000,69
4,1200,1.0,294.0,1200.0,1200,1956,1956,1,6,NAmes,144000,68
6,1382,2.0,884.0,1362.0,1382,1962,1962,1,6,NAmes,176000,62
5,1297,2.0,498.0,1297.0,1297,1954,1990,1,5,NAmes,153000,34
5,1866,2.0,495.0,1866.0,1866,1958,1958,2,8,NAmes,135000,66
6,1062,1.0,297.0,1062.0,1062,1954,1954,1,6,NAmes,131000,70
5,1319,1.0,270.0,608.0,1319,1953,1953,1,5,NAmes,123000,71
5,1112,2.0,480.0,631.0,1112,1951,1951,1,5,NAmes,126000,73
4,1005,2.0,672.0,1005.0,1005,1955,1955,1,5,NAmes,115000,69
5,1363,1.0,288.0,1008.0,1363,1951,2000,1,6,NAmes,164900,24
5,793,1.0,240.0,793.0,793,1945,1950,1,4,NAmes,113000,74
5,1031,1.0,230.0,1031.0,1031,1952,2005,1,5,NAmes,145500,19
5,1210,1.0,616.0,0.0,1210,1953,1953,1,7,NAmes,102900,71
3,1699,2.0,420.0,978.0,1014,1900,1970,2,7,OldTown,95000,54
7,1527,2.0,410.0,699.0,801,1948,1999,1,6,NAmes,152500,25
5,1200,1.0,246.0,1200.0,1200,1950,1950,1,6,NAmes,129900,74
6,972,1.0,240.0,972.0,972,1948,2002,1,5,NAmes,132000,22
3,792,1.0,366.0,792.0,792,1958,1958,1,4,OldTown,99900,66
5,1656,1.0,180.0,660.0,808,1916,1987,2,8,OldTown,135000,37
5,1352,2.0,720.0,676.0,676,1939,2006,2,7,OldTown,149000,18
4,1039,1.0,281.0,405.0,717,1900,2003,1,6,OldTown,114000,21
5,792,1.0,240.0,768.0,792,1924,2006,1,5,OldTown,109500,18
5,1078,1.0,264.0,1054.0,1078,1925,1950,1,6,OldTown,125000,74
4,2377,2.0,528.0,1313.0,1313,1915,1950,2,8,OldTown,142900,74
7,1690,2.0,624.0,560.0,930,1910,2008,2,5,OldTown,156500,16
2,599,0.0,0.0,416.0,599,1940,1950,1,4,OldTown,59000,74
4,1374,1.0,338.0,840.0,840,1920,1950,1,6,OldTown,105000,74
5,846,2.0,576.0,720.0,846,1920,1950,1,4,OldTown,106000,74
3,725,1.0,320.0,630.0,725,1890,1998,1,4,OldTown,78500,26
6,2544,3.0,907.0,1248.0,1248,1969,1969,2,12,NAmes,190000,55
6,1380,1.0,364.0,1380.0,1380,1963,1963,1,6,NAmes,154000,61
6,1040,2.0,480.0,1040.0,1040,1967,1967,1,6,NAmes,163000,57
5,2634,4.0,968.0,1248.0,1338,1969,1969,2,12,NAmes,200000,55
6,951,2.0,480.0,951.0,951,1958,2007,1,6,NAmes,143500,17
6,1105,1.0,308.0,1105.0,1105,1957,1957,1,5,NAmes,135000,67
5,1306,1.0,756.0,992.0,1306,1957,2000,1,5,NAmes,153000,24
6,1478,2.0,498.0,1478.0,1478,1960,1960,2,6,NAmes,157500,64
6,1142,1.0,384.0,160.0,1142,1958,1958,1,5,NAmes,113500,66
5,1268,1.0,288.0,832.0,1036,1949,1950,1,6,NAmes,133000,74
3,1040,2.0,400.0,0.0,1040,1950,1950,2,6,NAmes,92900,74
6,1133,2.0,900.0,795.0,765,1950,1950,1,5,NAmes,128500,74
4,1040,2.0,420.0,0.0,1040,1949,1950,2,6,NAmes,90000,74
5,1904,1.0,240.0,1208.0,1136,1950,1982,1,7,NAmes,138000,42
5,1041,1.0,294.0,1041.0,1041,1958,1958,1,6,NAmes,128000,66
5,1339,1.0,294.0,1029.0,1339,1958,1965,1,6,NAmes,139000,59
